Title,Content Rating,Rating Description,Content Rating Numerical,Release Year,User Rating Score,Children Show
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,No
Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98,No
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,No
Lost,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,98,No
The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,No
Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,No
The Flash,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,Yes
Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,Yes
Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98,No
Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,No
Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,No
Finding Dory,PG,mild thematic elements,60,2016,98,Yes
Marvel's Iron Fist,TV-MA,"",110,2017,98,No
The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97,No
Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97,No
Last Man Standing,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,97,Yes
Law & Order: Special Victims Unit,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,97,No
Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,No
NCIS,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97,No
Bones,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97,No
Kevin Hart: What Now?,R,"some sexual material, and language throughout",100,2016,97,No
Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97,Yes
The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97,Yes
The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97,Yes
The 100,NR,This movie has not been rated.,124,2016,97,No
Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96,Yes
Atlantis: The Lost Empire,PG,action violence,60,2001,96,Yes
Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96,No
Arrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,96,No
Minions,PG,action and rude humor,60,2015,96,Yes
The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,No
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,No
Hawaii Five-0,TV-14,"dialogue, language, sexual situations and violence",90,2016,96,No
London Has Fallen,R,strong violence and language throughout,100,2016,96,No
Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96,Yes
Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96,Yes
Ingobernable,TV-MA,"",110,2017,96,No
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,Yes
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,Yes
Lilo & Stitch,PG,mild sci-fi action,60,2002,95,Yes
Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95,Yes
Dexter,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,95,No
Marvel's Luke Cage,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95,No
Better Call Saul,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95,No
Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,No
Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,No
How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,No
Blue Bloods,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,No
Bee Movie,PG,mild suggestive humor,60,2007,94,Yes
How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,Yes
Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94,No
Home,PG,mild action and some rude humor,60,2015,94,Yes
The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94,Yes
Narcos,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,94,No
Girlboss,TV-MA,"",110,2017,94,No
Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94,No
Blank Check,PG,Parental guidance suggested. May not be suitable for children.,60,1994,93,Yes
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,Yes
White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93,Yes
Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93,Yes
The Night Shift,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,93,No
Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93,Yes
Person of Interest,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,93,No
Pete's Dragon,PG,"for action, peril and brief language",60,2016,93,Yes
Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93,No
Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,Yes
The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92,No
Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92,Yes
Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92,No
Longmire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92,No
The Angry Birds Movie,PG,for rude humor and action,60,2016,92,Yes
Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92,Yes
Sandy Wexler,TV-14,"",90,2017,92,No
The Road to El Dorado,PG,mild thematic material and language,60,2000,91,Yes
The Pacifier,PG,"action violence, language and rude humor",60,2005,91,Yes
Corpse Bride,PG,"some scary images and action, and brief mild language",60,2005,91,Yes
Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91,No
Kung Fu Panda,PG,sequences of martial arts action,60,2008,91,Yes
It's Always Sunny in Philadelphia,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91,No
House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91,No
New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,No
Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,No
Sausage Party,R,"strong crude sexual content, pervasive language, and drug use",100,2016,91,No
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,No
Charmed,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2005,90,Yes
One Tree Hill,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,90,No
Goosebumps,PG,"scary and intense creature action and images, and for some rude humor",60,2015,90,Yes
American Horror Story,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,90,No
Fuller House,TV-G,Suitable for all ages.,35,2016,90,Yes
Stranger Things,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,90,No
Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,No
That '70s Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,89,No
Twilight,PG-13,some violence and one sexual scene,80,2008,89,No
Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,89,No
Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89,Yes
Marvel's Agents of S.H.I.E.L.D.,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,89,Yes
The Magicians,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,89,No
Sand Castle,TV-MA,"",110,2017,89,No
Naruto,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,88,Yes
Forensic Files,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,88,No
The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88,No
Private Practice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88,No
Breakout Kings,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88,No
Jessie,TV-G,Suitable for all ages.,35,2015,88,Yes
Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88,No
Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88,Yes
Grease,PG,Parental guidance suggested. May not be suitable for children.,60,1978,86,Yes
The Little Rascals,PG,some rude dialogue,60,1994,86,Yes
Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86,Yes
Leverage,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,86,Yes
Travelers,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,86,No
Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,86,No
Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85,Yes
Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,60,2005,85,Yes
Weeds,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2012,85,No
Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85,Yes
Burn Notice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,85,No
Heartland,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,85,Yes
Lab Rats,TV-Y7,Suitable for children ages 7 and older,41,2016,85,Yes
Gotham,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,85,No
The Nightmare Before Christmas,PG,some scary images,60,1993,84,Yes
Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,84,Yes
Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84,Yes
The Do-Over,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84,No
The Crown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84,No
Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84,No
Gabriel lglesias: Iâ€™m Sorry For What I Said When I Was Hungry,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84,No
Flubber,PG,slapstick action and mild language,60,1997,83,Yes
The Iron Giant,PG,fantasy action and mild language,60,1999,83,Yes
Marvel's Jessica Jones,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,83,No
Switched at Birth,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,83,No
Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83,Yes
Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83,No
The Waterboy,PG-13,language and some crude sexual humor,80,1998,82,No
White Chicks,PG-13,"crude and sexual humor, language and some drug content",80,2004,82,No
Scooby-Doo 2: Monsters Unleashed,PG,"some scary action, rude humor and language",60,2004,82,Yes
Sofia the First,TV-Y,Suitable for all ages.,10,2015,82,Yes
Nurse Jackie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,82,No
Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82,No
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,Yes
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,Yes
The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81,Yes
Friday Night Lights,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,81,Yes
Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,Yes
The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81,No
Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,81,Yes
Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81,No
Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81,No
"Honey, I Shrunk the Kids",PG,Parental guidance suggested. May not be suitable for children.,60,1989,80,Yes
Antz,PG,moderate adult language and intense action,60,1998,80,Yes
Chicken Run,G,General Audiences. Suitable for all ages.,35,2000,80,Yes
Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80,No
Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,80,No
Growing Up Wild,G,"",35,2016,80,Yes
The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,No
Atlantis: Milo's Return,G,General Audiences. Suitable for all ages.,35,2003,79,Yes
The West Wing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,79,No
Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79,No
Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,79,No
Dope,R,"language, drug content, sexuality/nudity, and some violence-all involving teens",100,2015,79,No
American Crime Story: The People v. O.J. Simpson,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,79,No
Meet the Blacks,R,"pervasive language, some sexual material, violence and drug use",100,2016,79,No
The Matchbreaker,PG,Parental guidance suggested. May not be suitable for children.,60,2016,79,Yes
Blow,R,"pervasive drug content and language, some violence and sexuality",100,2001,78,No
The Adventures of Puss in Boots,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,78,Yes
Only for One Night,TV-MA,"",110,2016,78,No
Death Note,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,77,No
The Benchwarmers,PG-13,"crude and suggestive humor, and for language",80,2006,77,No
The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77,Yes
Magic Mike,R,"pervasive sexual content, brief graphic nudity, language and some drug use",100,2012,77,No
Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77,Yes
Gilmore Girls: A Year in the Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77,No
Death in Paradise,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77,No
Missione Hamburger,PG,"language, some comic violence and mild sex-related humor",60,1997,75,Yes
Mad Men,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,75,No
Heavyweights,PG,some rude language and pranks,60,1995,74,Yes
PokÃ©mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74,Yes
H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2009,74,Yes
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,Yes
The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,No
Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,No
Ratchet and Clank,PG,action and some rude humor,60,2016,74,Yes
Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73,Yes
Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,73,No
The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73,No
The Fosters,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,73,No
Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72,Yes
Open Season: Scared Silly,PG,rude humor and some action,60,2015,72,Yes
Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72,Yes
Baby's Day Out,PG,mild language and comic action,60,1994,71,Yes
Young Justice,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,71,Yes
The Little Prince,PG,mild thematic elements,60,2015,71,Yes
All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71,Yes
Louis C.K. 2017,TV-MA,"",110,2017,71,No
FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,35,1992,70,Yes
D2: The Mighty Ducks,PG,some mild language and rough hockey action,60,1994,70,Yes
Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70,Yes
Paddington,PG,mild action and rude humor,60,2014,70,Yes
Madam Secretary,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,70,No
Luther,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,69,No
The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69,No
Skin Wars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69,No
The Great Gilly Hopkins,PG,for thematic material and language,60,2016,69,Yes
Annie,PG,adult content and mld violence,60,1982,68,Yes
10 Things I Hate About You,PG-13,"adult content, adult language and mild violence",80,1999,68,No
Touch,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,68,No
Super Why!,TV-Y,Suitable for all ages.,10,2015,68,Yes
Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68,No
An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67,Yes
An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67,Yes
Pocoyo,TV-Y,Suitable for all ages.,10,2007,67,Yes
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,67,Yes
Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66,Yes
30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,66,No
Crossing Lines,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,66,No
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65,Yes
Secret of the Wings,G,General Audiences. Suitable for all ages.,35,2012,65,Yes
Balto,G,General Audiences. Suitable for all ages.,35,1995,64,Yes
Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64,Yes
Spy Kids 3: Game Over,PG,action sequences and peril,60,2003,64,Yes
High School Musical,TV-G,Suitable for all ages.,35,2006,64,Yes
Step Up,PG-13,"thematic elements, brief violence and innuendo",80,2006,64,No
Trouble with the Curve,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,80,2012,63,No
Californication,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63,No
Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63,No
Girlfriends' Guide to Divorce,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,63,No
90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,62,No
Safe Haven,PG-13,"thematic material involving threatening behavior, and for violence and sexuality",80,2013,62,No
Portlandia,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,No
Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,No
Army Wives,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,61,No
Cheer Squad,TV-PG,"",70,2016,61,Yes
The Fall,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,61,No
Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61,Yes
Bunk'd,TV-G,Suitable for all ages.,35,2016,61,Yes
Little Boxes,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,61,No
Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,59,No
Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58,Yes
High School Musical 2,TV-G,Suitable for all ages.,35,2007,58,Yes
Being Human (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,58,No
Haters Back Off,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,58,No
Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57,Yes
Hunter X Hunter (2011),NR,This movie has not been rated.,124,2013,57,No
The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57,Yes
The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57,No
Hap and Leonard,TV-MA,"",110,2016,57,No
How to Lose a Guy in 10 Days,PG-13,some sex-related material,80,2003,56,No
DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,56,Yes
Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35,2009,56,Yes
PokÃ©mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,56,Yes
Bitten,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,56,No
Curious George,G,General Audiences. Suitable for all ages.,35,2006,55,Yes
Life Unexpected,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,55,Yes
The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,NA,Yes
The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,NA,Yes
The Super Mario Bros. Super Show!,TV-Y7,Suitable for children ages 7 and older,41,1989,NA,Yes
Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,NA,Yes
An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,NA,Yes
