Gender,Random digits,Eye color,Height,Cash value,Keys,Credit cards,Pulse rate,Exercise,Units taking,Employed,Children,Smoke,Handed,Shoe length,Arrival,Birth month,Navel height,Age,Pineapple,Car,People dated,Religious,Pets,# pets,Apple or Android,Math bad,Outside US,Outside CA,Swim,Cook,Pant leg,Sleep position,Hours of sleep,Piercings,Number of textees,Extroversion
male,5959,brown,68,1000,2,1,90,yes,10,no,0,no,right,,45,4,,20,no,yes,1,no,yes,2,Android,no,yes,yes,yes,no,Left leg in first,Left side,8,0,5,5
male,1234,brown,66,4000,3,2,88,no,14,yes,0,no,right,,30,4,,20,yes,yes,2,no,yes,2,Apple,yes,yes,yes,yes,yes,Left leg in first,Left side,7,0,3,2
male,7854,brown,71,25,0,0,64,yes,13,yes,0,no,right,,15,8,,18,yes,no,0,yes,no,0,Android,no,yes,yes,yes,yes,Right leg in first,Back,8,0,4,3
male,2024,brown,67,0,5,1,72,yes,17,no,0,no,right,7,11,1,,19,no,yes,3,no,no,0,Apple,yes,no,yes,yes,yes,Right leg in first,Back,8,0,8,4
male,1997,brown,70,153,2,2,65,yes,14,no,0,no,right,,16,7,,26,no,yes,7,no,yes,1,Apple,yes,yes,no,yes,yes,Right leg in first,Right side,6,0,2,4
female,2846,brown,61,20,4,1,79,yes,16,yes,0,no,left,,15,5,,19,yes,yes,1,yes,yes,1,Apple,yes,yes,yes,yes,yes,Right leg in first,Right side,7,1,4,5
male,1989,brown,72,211,2,4,92,yes,18,yes,0,no,right,,21,9,,22,yes,yes,2,yes,yes,2,Android,yes,yes,yes,yes,yes,Right leg in first,Right side,8,0,2,4
male,1779,brown,70,200,0,1,60,no,15,no,0,no,right,13,14,8,,19,no,no,1,yes,no,0,Apple,yes,yes,yes,yes,no,I don't know,Stomach,4,0,4,4
male,9876,blue,70,100,7,7,60,no,16,yes,2,no,right,12,10,9,,60,yes,yes,3,yes,no,0,Apple,no,yes,yes,yes,yes,Left leg in first,Back,7,0,3,3
male,1407,brown,69,40,3,2,60,yes,14,no,0,no,right,11,35,11,,28,yes,yes,2,yes,no,0,Android,no,yes,yes,yes,yes,I don't know,Back,7,0,2,2
male,6942,hazel,70,50,1,0,100,yes,,no,0,no,right,,17,3,,21,no,no,1,no,yes,11,Android,no,no,yes,yes,yes,Left leg in first,Back,7,0,2,10
male,7354,brown,68,10,2,0,65,yes,,no,0,no,right,10.5,10,12,31,18,no,yes,0,yes,yes,2,Apple,yes,yes,yes,no,yes,Left leg in first,Back,7.5,0,10,10
female,4789,brown,64,27,3,1,77,no,14,yes,0,no,left,9.5,20,9,38.5,17,no,yes,0,no,no,0,Apple,yes,yes,yes,yes,yes,Left leg in first,Back,8,2,2,2
female,519,brown,60,325.3,0,1,95,no,14,no,0,no,left,9,18,5,,19,no,no,2,yes,no,0,Apple,no,yes,yes,no,yes,Left leg in first,Back,8,1,3,2
