RestaurantName,Style,Price,Address,Average Rating
GRANVILLE,American (New),$$,"8701 Beverly Blvd West Hollywood, CA 90048",4.4
Running Goose,Latin American,$$,"1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3
Hangari Kalguksu,Korean,$$,"3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4
L'Antica Pizzeria Da Michele,Italian,$$$,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3
Republique,French,$$,"624 S La Brea Ave Los Angeles, CA 90036",4.2
HanEuem,Korean,,"539 S Western Ave Los Angeles, CA 90020",4.4
Met Him At A Bar,Italian,$$,"801 S La Brea Los Angeles, CA 90036",4.3
Burnin' Shell,Seafood,$$$,"3916 Wilshire Blvd Los Angeles, CA 90010",4.7
Great White,American (New),$$,"244 N Larchmont Blvd Los Angeles, CA 90004",4.1
Butnal,Korean,,"954 S Norton Ave Los Angeles, CA 90019",4.3
Met Her At A Bar, American (New),$$,"759 S La Brea Ave Los Angeles, CA 90036",4.4
Ka'teen,Mexican,,"6516 Selma Ave Los Angeles, CA 90028",4
Sun Nong Dan,Korean,$$,"710 S Western Ave Los Angeles, CA 90005",4.25
Sun Nong Dan,Korean,$$$,"3470 W 6th St Ste 7 Los Angeles, CA 90020",4.25
King Chang - LA,Korean,,"3732 W 6th St Los Angeles, CA 90020",4.7
Toca Madera - Los Angeles,Mexican,$$$,"8450 W 3rd St Los Angeles, CA 90048",3.8
Olivia,Pizza,$$,"205 S Vermont Ave Los Angeles, CA 90004",4.9
Osteria Mamma,Italian,$$,"5732 Melrose Ave Los Angeles, CA 90038",4
Beauty & Essex,American (New),$$$,"1615 Cahuenga Blvd Los Angeles, CA 90028",4.2
BROKEN MOUTH | Lee's Homestyle,Hawaiian,$$,"718 S Los Angeles St Los Angeles, CA 90014",4.8
Hui Tou Xiang,Chinese,$$,"1643 N Cahuenga Blvd Los Angeles, CA 90028",4.3
hibi.,Japanese,,"3121 W Olympic Blvd Ste 103 Los Angeles, CA 90006",4.9
LA Wangbal,Korean,,"4251 W 3rd St Los Angeles, CA 90020",4.6
Mother Tongue,American (New),,"960 N La Brea Ave Fl 4 Los Angeles, CA 90038",4.1
Juliana Los Angeles,Breakfast & Brunch,,"3500 W 6th St Los Angeles, CA 90020",4.2
Apb,Cocktail Bars,,"7302 Melrose Ave Los Angeles, CA 90036",4.8
Morrison Atwater Village,Burgers,$$,"3179 Los Feliz Blvd Los Angeles, CA 90039",4.6
Louders,Asian Fusion,$$,"3470 W 6th St Los Angeles, CA 90020",4.5
Joyce,Southern,,"770 S Grand Ave Ste A Los Angeles, CA 90017",4.8
TOKKI - Korean Tapas,Korean,,"3465 W 6th St Los Angeles, CA 90020",4.5
Pixiu Mala Hongtang,Chinese,$$,"425 S Western Ave Los Angeles, CA 90020",4.3
The Edmon,Cocktail Bars,$$,"5168 Melrose Ave Los Angeles, CA 90038",4.3
Mes Amis,French,,"1541 Wilcox Ave Los Angeles, CA 90028",4.3
Anju House,Korean,,"234 S Oxford Ave Los Angeles, CA 90004",4.5
Osteria La Buca,Italian,$$,"5210 Melrose Ave Los Angeles, CA 90038",4.1
The Highlight Room Grill,Breakfast & Brunch,$$,"6417 Selma Ave Los Angeles, CA 90028",3.7
OSTE,Italian,,"8142 W 3rd St Los Angeles, CA 90048",4.7
Yuko Kitchen Miracle Mile,Japanese,$$,"5484 Wilshire Blvd Los Angeles, CA 90036",4.3
The Front Yard,Breakfast & Brunch,$$,"4222 Vineland Ave North Hollywood, CA 91602",4
Pasta Sisters,Sandwiches,$$,"3343 W Pico Blvd Los Angeles, CA 90019",4.4
Cooking Mom,Korean,$$,"3660 Wilshire Blvd Ste 120 Los Angeles, CA 90010",4.9
Sparrow Italia,Italian,$$$,"939 S Figueroa St. Ste 200 Los Angeles, CA 90015",4
Lan Noodle,Ramen,,"7100 Santa Monica Blvd Ste 130 West Hollywood, CA 90046",4.9
Girl & The Goat - Los Angeles,American (New),,"555-3 Mateo St Ste 300 Los Angeles, CA 90013",4.4
Bacari Silverlake,Mediterranean,,"3626 Sunset Blvd Los Angeles, CA 90026",4.6
Lucky Mizu,Japanese,,Verified by Business,4.6
Seoul Salon Restaurant & Bar,Korean,$$,"3600 Wilshire Blvd 100B Los Angeles, CA 90005",4.4
Supremo,Italian,$$,"901 S La Brea Ave Los Angeles, CA 90036",4.5
Pine & Crane,Taiwanese,$$,"1521 Griffith Park Blvd Los Angeles, CA 90026",4.3
Seabirds Kitchen - Los Feliz,Vegan,$$,"2138 Hillhurst Ave Los Angeles, CA 90027",4.7
Wood,Pizza,$$$,"2861 Sunset Blvd Los Angeles, CA 90026",3.9
OUI MELROSE,Sandwiches,$$,"6909 Melrose Ave Los Angeles, CA 90038",4.5
Maccheroni Republic,Italian,$$,"332 S Broadway Los Angeles, CA 90013",4.3
Marugame Monzo,Japanese,$$,"329 E 1st St Los Angeles, CA 90012",4.4
"The Butcher, The Baker, The Cappuccino Maker",American (New),$$,"8653 W Sunset Blvd West Hollywood, CA 90069",4
Han Bat Sul Lung Tang,Korean,$$,"4163 W 5th St Los Angeles, CA 90020",4.4
Mother Wolf,Italian,$$$$,"1545 Wilcox Ave Los Angeles, CA 90028",3.9
Perch,French,$$$,"448 S Hill St Los Angeles, CA 90013",4.1
Cento,Mediterranean,$$,"4921 W Adams Blvd Los Angeles, CA 90016",4.5
Superba Food + Bread,Breakfast & Brunch,,"6530 Sunset Blvd Los Angeles, CA 90028",4.4
Good Goose Cafe,Asian Fusion,$$,"5210 Beverly Blvd Los Angeles, CA 90004",4.8
Jon & Vinny's Fairfax,Breakfast & Brunch,$$,"412 N Fairfax Ave Los Angeles, CA 90036",3.8
CHD MANDU LA,Korean,$$,"3377 Wilshire Blvd Ste 104 Los Angeles, CA 90010",4.6
DAMA,Latin American,$$$,"612 E 11th St Los Angeles, CA 90015",4.4
Ghost Sando Shop,Sandwiches,$$,"7801 Melrose Ave Ste 1A Los Angeles, CA 90046",4.8
Farmhouse Kitchen Thai Cuisine,Thai,,"5560 W Adams Blvd Los Angeles, CA 90016",4.4
Enchant,Asian Fusion,,"681 S Western Ave Los Angeles, CA 90005",3.7
Pigya,Korean,,"3400 W 8th St Los Angeles, CA 90005",4.4
Tonchin LA,Ramen,$$,"5665 Melrose Ave Los Angeles, CA 90038",4.4
Fixins Soul Kitchen - Los Angeles,American (Traditional),$$,"800 W Olympic Blvd Ste A150 Los Angeles, CA 90015",4.4
Bestia,Italian,$$$,"2121 E 7th Pl Los Angeles, CA 90021",4.3
Little Pan - Los Angeles,Dim Sum,,"3742 S Figueroa St Los Angeles, CA 90007",4.8
Cara Cara,American (New),,"1100 S Broadway Los Angeles, CA 90015",3.9
Linden,American (New),,"5936 Sunset Blvd Los Angeles, CA 90028",4.3
PASTA e PASTA by Allegro,Italian,$$,"432 E 2nd St Los Angeles, CA 90012",4.4
Lolo,American (New),,"5140 W Sunset Blvd Los Angeles, CA 90027",4.1
Spago Beverly Hills,American (New),$$$$,"176 N Canon Dr Beverly Hills, CA 90210",4.1
Bao Dim Sum House,Dim Sum,$$,"8256 Beverly Blvd Los Angeles, CA 90048",4
Fratelli Cafe,Breakfast & Brunch,$$,"7200 Melrose Ave Los Angeles, CA 90046",4.3
Providence,American (New),$$$$,"5955 Melrose Ave Los Angeles, CA 90038",4.4
Openaire,American (New),$$$,"3515 Wilshire Blvd Fl 2 Los Angeles, CA 90010",3.7
Saffy's,Middle Eastern,$$$,"4845 Fountain Ave Los Angeles, CA 90029",4.2
JOEY DTLA,Japanese,,"700 W 7th St Ste S430 Los Angeles, CA 90017",4.2
Ubuntu,African,,"7469 Melrose Ave Los Angeles, CA 90046",4.7
Grandmaster Recorders,Italian,,"1518 N Cahuenga Blvd Los Angeles, CA 90028",4
LEE GA,Korean,$$,"698 S Vermont Ave Ste 106 Los Angeles, CA 90005",4.4
Chadolpoong,Korean,$$,"3470 W 6th St Ste 3 Los Angeles, CA 90020",4.5
