RestaurantName,Style,Price,Address,Average Rating
GRANVILLE,"American (New), Cocktail Bars",$$,"8701 Beverly Blvd West Hollywood, CA 90048",4.4
Running Goose,"Gastropubs, Latin American",$$,"1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3
Hangari Kalguksu,"Korean, Noodles",$$,"3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4
L'Antica Pizzeria Da Michele,"Pizza, Italian, Breakfast & Brunch",$$$,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3
Republique,"French, Breakfast & Brunch, Cocktail Bars",$$,"624 S La Brea Ave Los Angeles, CA 90036",4.2
HanEuem,"Korean, Comfort Food, Gastropubs",,"539 S Western Ave Los Angeles, CA 90020",4.4
Met Him At A Bar,"Italian, Cocktail Bars",$$,"801 S La Brea Los Angeles, CA 90036",4.3
Burnin' Shell,"Seafood, Korean, Barbeque",$$$,"3916 Wilshire Blvd Los Angeles, CA 90010",4.7
Great White,"American (New), Breakfast & Brunch, Cocktail Bars",$$,"244 N Larchmont Blvd Los Angeles, CA 90004",4.1
Butnal,Korean,,"954 S Norton Ave Los Angeles, CA 90019",4.3
Met Her At A Bar,"Cafes, Breakfast & Brunch, American (New)",$$,"759 S La Brea Ave Los Angeles, CA 90036",4.4
Ka'teen,"Mexican, Cocktail Bars, Breakfast & Brunch",,"6516 Selma Ave Los Angeles, CA 90028",4
Sun Nong Dan,"Soup, Korean",$$,"710 S Western Ave Los Angeles, CA 90005",4.25
Sun Nong Dan,"Korean, Soup",$$$,"3470 W 6th St Ste 7 Los Angeles, CA 90020",4.25
King Chang - LA,"Korean, Barbeque, Beer, Wine & Spirits",,"3732 W 6th St Los Angeles, CA 90020",4.7
Toca Madera - Los Angeles,"Cocktail Bars, Mexican, Steakhouses",$$$,"8450 W 3rd St Los Angeles, CA 90048",3.8
Olivia,"Vegetarian, Pizza, Wine Bars",$$,"205 S Vermont Ave Los Angeles, CA 90004",4.9
Osteria Mamma,"Italian, Wine Bars",$$,"5732 Melrose Ave Los Angeles, CA 90038",4
Beauty & Essex,"Lounges, American (New)",$$$,"1615 Cahuenga Blvd Los Angeles, CA 90028",4.2
BROKEN MOUTH | Lee's Homestyle,"Hawaiian, Korean, Comfort Food",$$,"718 S Los Angeles St Los Angeles, CA 90014",4.8
Hui Tou Xiang,"Chinese, Noodles",$$,"1643 N Cahuenga Blvd Los Angeles, CA 90028",4.3
hibi.,"Japanese, Korean",,"3121 W Olympic Blvd Ste 103 Los Angeles, CA 90006",4.9
LA Wangbal,"Korean, Soup",,"4251 W 3rd St Los Angeles, CA 90020",4.6
Mother Tongue,"American (New), Seafood, Vegetarian",,"960 N La Brea Ave Fl 4 Los Angeles, CA 90038",4.1
Juliana Los Angeles,"Breakfast & Brunch, Lounges, Tapas/Small Plates",,"3500 W 6th St Los Angeles, CA 90020",4.2
Apb,"Cocktail Bars, Vegan",,"7302 Melrose Ave Los Angeles, CA 90036",4.8
Morrison Atwater Village,"Gastropubs, Burgers, Salad",$$,"3179 Los Feliz Blvd Los Angeles, CA 90039",4.6
Louders,"Asian Fusion, Chicken Shop",$$,"3470 W 6th St Los Angeles, CA 90020",4.5
Joyce,"Southern, American (New), Seafood",,"770 S Grand Ave Ste A Los Angeles, CA 90017",4.8
TOKKI - Korean Tapas,"Korean, Tapas/Small Plates, Cocktail Bars",,"3465 W 6th St Los Angeles, CA 90020",4.5
Pixiu Mala Hongtang,"Chinese, Hot Pot, Korean",$$,"425 S Western Ave Los Angeles, CA 90020",4.3
The Edmon,"Cocktail Bars, American (New)",$$,"5168 Melrose Ave Los Angeles, CA 90038",4.3
Mes Amis,"French, Brasseries",,"1541 Wilcox Ave Los Angeles, CA 90028",4.3
Anju House,"Korean, Bars, Tapas/Small Plates",,"234 S Oxford Ave Los Angeles, CA 90004",4.5
